Record ID,Shipment ID,Shipdate,Vendor ID,O_COUNTRY,ORIG,ORIG_ZIP,D_COUNTRY,DEST,DEST_ZIP,Equipment Type,Cost,Weight,Mileage
9370,A4480,3/4/2020,20,MX,TM NUEVO LAREDO,88060,MX,DG DURANGO,34000,DV,863,6357,495
9371,EXP7627,3/19/2020,1,MX,DURANGO,34000,MX,NUEVO LAREDO,88060,FB,0,36500,0
9372,IN19000,10/29/2019,2,US,TX LAREDO,78045,MX,DG DURANGO,34000,FB,88,0,508
9373,EXP7015,1/31/2020,1,MX,DG DURANGO,34000,MX,TM NUEVO LAREDO,88000,DV,1433,29900,495
9374,6313923,1/27/2020,44,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,871,27000,164
9375,MVT19061,10/31/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,DV,279,0,508
9376,OUT18719,10/1/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,19828,164
9377,OUT18747,10/1/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9378,OUT18768,10/4/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,641,8097,164
9379,OUT18935,10/18/2019,2,US,TX LAREDO,78045,US,TX SAN ANTONIO,78220,FB,780,29955,159
9380,OUT18781,10/7/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,DV,123,0,508
9381,11824,11/1/2019,7,US,TX SAN ANTONIO,78220,US,PA MOUNT JOY,17552,FB,3730,1799,1676
9382,INB00092/20,1/7/2020,37,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,1372,7200,164
9383,1893357,9/3/2020,51,US,TX SAN ANTONIO,78220,US,FL WESTON,33326,FB,3520,5173,1360
9384,ILSC4551,10/31/2019,4,MX,NL CIENEGA DE FLORES,65550,MX,NL SAN PEDRO,66269,DV,110,1,67
9385,22217,2/14/2020,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,871,10076,164
9386,22218,2/14/2020,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,868,13596,164
9387,22225,2/14/2020,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,868,22104,164
9388,22243,2/24/2020,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,868,23478,164
9389,22245,2/24/2020,3,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,868,20978,164
9390,22257,2/13/2020,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,DV,83,0,14
9391,INB04079/19,10/29/2019,37,US,TX LAREDO,78040,US,PA WAYNESBORO,17268,DV,4586,19900,1761
9392,10828,10/4/2019,72,MX,CU CIUDAD ACUNA,26220,MX,NL SAN PEDRO,66269,DV,431,3879,237
9393,INB00155/20,1/14/2020,37,US,TX LAREDO,78040,US,PA WAYNESBORO,17268,DV,4586,19730,1761
9394,OUT18864,10/13/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,196,0,508
9395,OUT18870,10/14/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,18950,164
9396,OUT18790,10/6/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,534,0,508
9397,OUT18813,10/7/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9398,OUT18821,10/8/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,18950,164
9399,OUT18822,10/8/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,8596,164
9400,OUT18730,10/1/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9401,OUT18840,10/10/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9402,OUT18908,10/15/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,19828,164
9403,OUT18919,10/17/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9404,OUT18952,10/23/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,13500,164
9405,OUT18970,10/24/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9406,OUT18974,10/20/2019,2,US,TX LAREDO,78045,US,TX SAN ANTONIO,78220,FB,625,20352,159
9407,3055,7/9/2020,17,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,54,1,17
9408,78537,10/29/2019,19,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,1421,5306,164
9409,4180B,3/10/2020,12,MX,NL CIENEGA DE FLORES,65550,MX,TM NUEVO LAREDO,88060,DV,275,30233,123
9410,A4255,1/22/2020,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,331,1237,123
9411,A4256,1/22/2020,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,336,3374,123
9412,A4264,1/24/2020,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,331,2,123
9413,A3570,10/9/2019,20,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9414,A3643,10/18/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,326,1621,123
9415,A3531,10/2/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,330,542,123
9416,A3548,10/4/2019,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,410,6461,123
9417,22230,2/8/2020,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,DV,83,0,14
9418,3258,8/3/2020,17,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,54,1,17
9419,22236,2/1/2020,3,MX,TM NUEVO LAREDO,88000,US,TX LAREDO,78045,DV,196,0,14
9420,2451,4/16/2020,17,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,50,1,17
9421,3215,8/1/2020,17,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,54,1,17
9422,77931,10/15/2019,19,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,1421,9146,164
9423,136189,10/22/2019,25,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,1326,22846,164
9424,2471,4/21/2020,17,MX,NL CIENEGA DE FLORES,65550,MX,NL APODACA,66600,DV,50,1,17
9425,INB0010820,1/7/2020,37,MX,NL CIENEGA DE FLORES,65550,US,PA NEW FREEDOM,17349,DV,4586,0,1932
9426,INB00768/20,2/21/2020,37,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,DV,1372,2173,164
9427,A4451,3/2/2020,20,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9428,3221A,2/10/2020,12,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9429,3224A,2/10/2020,12,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9430,3223A,2/10/2020,12,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9431,A4605,3/25/2020,20,MX,NUEVO LAREDO,88060,MX,CIENEGA DE FLORES,65550,DV,0,0,0
9432,A4479,3/4/2020,20,MX,TM NUEVO LAREDO,88060,MX,NL CIENEGA DE FLORES,65550,DV,283,3830,123
9433,OUT18992,10/26/2019,2,US,TX LAREDO,78045,US,TX SAN ANTONIO,78220,FB,625,24154,159
9434,OUT19021,10/26/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,21188,164
9435,OUT19054,10/31/2019,2,US,TX LAREDO,78045,US,TX SAN ANTONIO,78220,FB,625,27450,159
9436,RCMX13028,2/23/2020,49,ES,GI FIGUERES,17600,MX,DG DURANGO,34000,DV,934,1,1487
9437,OUT18926,10/14/2019,2,US,TX LAREDO,78040,US,PA WAYNESBORO,17268,FB,5300,5307,1761
9438,OUT18856,10/14/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,18500,164
9439,OUT18831,10/9/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,436,0,508
9440,OUT18883,10/15/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,640,7484,164
9441,OUT18902,10/14/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9442,OUT18903,10/14/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9443,OUT18905,10/16/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9444,OUT18911,10/16/2019,2,US,TX LAREDO,78040,US,TX SAN ANTONIO,78220,FB,714,20984,164
9445,OUT18964,10/21/2019,2,MX,DG DURANGO,34000,US,TX LAREDO,78045,FB,98,0,508
9446,141035,12/6/2019,22,MX,NUEVO LAREDO,88060,MX,APODACA,66600,FB,0,0,0
9447,F32754,1/29/2020,33,MX,NL SAN PEDRO,66278,MX,QR CANCUN,77533,DV,4310,1,1523
9448,P3550,1/15/2020,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,2,0,0
9449,P3550,1/15/2020,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,5,0,0
9450,P3550,1/15/2020,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,1,0,0
9451,P2953,10/14/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,134,0,0
9452,P2971,10/15/2019,34,US,TX LAREDO,78045,MX,NUEVO LAREDO,88290,DV,26,0,0
9453,P2940,10/9/2019,34,US,TX LAREDO,78045,MX,TM NUEVO LAREDO,88290,DV,39,0,14
